cpu_key,cpu_label,passmark_multi,passmark_single,cores,release_year,source
amd ryzen 5 5600x3d,AMD Ryzen 5 5600X3D,21889,,,,PassMark (passmark_single_cpu_intel_amd.csv)
amd ryzen 5 5600t,AMD Ryzen 5 5600T,21884,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel core 5 220h,Intel Core 5 220H,21884,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel core i9 10850k,Intel Core i9-10850K @ 3.60GHz,21883,,,,PassMark (passmark_single_cpu_intel_amd.csv)
amd ryzen 5 5600x,AMD Ryzen 5 5600X,21834,,6,2020,PassMark (passmark_single_cpu_intel_amd.csv)
intel xeon gold 6262,Intel Xeon Gold 6262 @ 1.90GHz,21823,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel xeon gold 6130t,Intel Xeon Gold 6130T @ 2.10GHz,21804,,,,PassMark (passmark_single_cpu_intel_amd.csv)
amd ryzen ai 5 pro 440 with radeon 840m,AMD Ryzen AI 5 PRO 440 with Radeon 840M,21787,,,,PassMark (passmark_single_cpu_intel_amd.csv)
amd ryzen 7 7736u,AMD Ryzen 7 7736U,21696,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel xeon gold 5218,Intel Xeon Gold 5218 @ 2.30GHz,21669,,,,PassMark (passmark_single_cpu_intel_amd.csv)
amd epyc 7281,AMD EPYC 7281,21653,,,,PassMark (passmark_single_cpu_intel_amd.csv)
amd ryzen 5 7400,AMD Ryzen 5 7400,21644,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel xeon e 2436,Intel Xeon E-2436,21635,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel xeon e7 8891 v3,Intel Xeon E7-8891 v3 @ 2.80GHz,21615,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel core i9 9900x,Intel Core i9-9900X @ 3.50GHz,21602,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel xeon e5 2697a v4,Intel Xeon E5-2697A v4 @ 2.60GHz,21539,,,,PassMark (passmark_single_cpu_intel_amd.csv)
amd ryzen 5 pro 8500ge,AMD Ryzen 5 PRO 8500GE,21528,,,,PassMark (passmark_single_cpu_intel_amd.csv)
amd ryzen 5 5600,AMD Ryzen 5 5600,21515,,,,PassMark (passmark_single_cpu_intel_amd.csv)
amd ryzen 7 pro 250,AMD Ryzen 7 PRO 250,21504,,,,PassMark (passmark_single_cpu_intel_amd.csv)
amd ryzen 7 5700ge,AMD Ryzen 7 5700GE,21484,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel core 5 120f,Intel Core 5 120F,21477,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel xeon gold 5218t,Intel Xeon Gold 5218T @ 2.10GHz,21433,,,,PassMark (passmark_single_cpu_intel_amd.csv)
amd ryzen 5 pro 8640hs,AMD Ryzen 5 PRO 8640HS,21425,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel core i7 11700b,Intel Core i7-11700B @ 3.20GHz,21420,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel core i7 12650h,Intel Core i7-12650H,21415,,,,PassMark (passmark_single_cpu_intel_amd.csv)
amd ryzen 5 8500g,AMD Ryzen 5 8500G,21410,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel xeon w 11955m,Intel Xeon W-11955M @ 2.60GHz,21401,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel core i9 10910,Intel Core i9-10910 @ 3.60GHz,21374,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel core i5 14401ef,Intel Core i5-14401EF,21367,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel core i5 12600,Intel Core i5-12600,21329,,,,PassMark (passmark_single_cpu_intel_amd.csv)
amd ryzen 5 pro 7640u,AMD Ryzen 5 PRO 7640U,21287,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel xeon e5 2696 v3,Intel Xeon E5-2696 v3 @ 2.30GHz,21286,,,,PassMark (passmark_single_cpu_intel_amd.csv)
amd ryzen 7 6800hs creator edition,AMD Ryzen 7 6800HS Creator Edition,21276,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel xeon gold 6130,Intel Xeon Gold 6130 @ 2.10GHz,21253,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel xeon e5 2697 v4,Intel Xeon E5-2697 v4 @ 2.30GHz,21231,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel core i7 12700t,Intel Core i7-12700T,21223,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel core ultra 7 365,Intel Core Ultra 7 365,21203,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel xeon e 2378g,Intel Xeon E-2378G @ 2.80GHz,21146,,,,PassMark (passmark_single_cpu_intel_amd.csv)
amd ryzen 5 8500ge,AMD Ryzen 5 8500GE,21125,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel xeon gold 6136,Intel Xeon Gold 6136 @ 3.00GHz,21114,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel core i9 13900te,Intel Core i9-13900TE,21111,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel xeon silver 4216,Intel Xeon Silver 4216 @ 2.10GHz,21085,,,,PassMark (passmark_single_cpu_intel_amd.csv)
